neutral/0,neutral/1,realization/0,realization/1,fear/0,fear/1,excitement/0,excitement/1,surprise/0,surprise/1,joy/0,joy/1,amusement/0,amusement/1,love/0,love/1,annoyance/0,annoyance/1,admiration/0,admiration/1,sadness/0,sadness/1,gratitude/0,gratitude/1,confusion/0,confusion/1,disapproval/0,disapproval/1,remorse/0,remorse/1,error/0,error/1,caring/0,caring/1,nervousness/0,nervousness/1,desire/0,desire/1,approval/0,approval/1,disgust/0,disgust/1,embarrassment/0,embarrassment/1,anger/0,anger/1,optimism/0,optimism/1,curiosity/0,curiosity/1,pride/0,pride/1,disappointment/0,disappointment/1
w,1399,show,9,democracy,8,going,6,popping,6,go,8,fun,16,azov,8,restoration,11,amazing,16,yet,6,praise,54,enklere,1,negotiating,4,controlled,3,,,courage,4,take,1,fourthreich,3,philosopher,13,useless,4,total,4,better,6,year,8,,,,,awaits,4
50,1391,president,8,th,8,new,6,torn,6,popcorn,8,war,15,animal,8,eu,11,actor,16,another,6,th,54,tv,1,flatly,4,wall,3,,,ukrainian,4,tab,1,nato,3,describing,13,pm,4,victory,4,johnson,6,ukrainian,7,,,,,unhappy,4
victory,1369,eu,8,say,8,johnson,6,chat,6,spectacle,8,look,15,cuddly,8,really,10,well,16,war,6,ioc,51,stalin,1,ever,4,street,3,,,particular,4,1t,1,possibility,3,center,13,want,4,ukrainian,4,put,6,give,7,,,,,genocidal,4
export,1310,color,8,going,8,pregnant,5,fest,6,g7,8,president,14,got,8,need,10,list,16,feel,6,russian,51,ordered,1,tulsi,4,investor,3,,,face,4,ukraine,1,war,3,help,12,awful,4,azov,4,actor,6,could,7,,,,,ukrainerussiawar,4
putin,1310,country,8,way,8,baby,5,open,6,ukrainian,7,like,14,gaji,8,u,10,video,16,time,6,team,51,troop,1,much,4,immediately,3,,,totalitarianism,4,construction,1,escalation,3,th,12,roll,4,neonazi,4,tolerate,6,busy,5,,,,,congratulate,3
via,1306,denyi,8,time,8,soon,5,cheque,6,july,7,kyiv,14,pak,8,think,9,ukrainian,15,unfortunate,6,athlete,51,surrender,1,seems,4,thought,3,,,seems,4,australian,1,better,3,one,12,long,4,faction,4,almost,6,weapon,5,,,,,biden,3
sweden,1292,changed,8,week,7,must,5,book,6,good,7,putin,13,presiden,8,like,9,call,15,keep,6,retake,46,exterminati,1,obvious,4,thing,3,,,important,4,pm,1,state,3,absolutely,12,bloody,4,complete,4,suck,6,time,5,,,,,july,3
heard,1277,much,7,cover,7,exciting,5,pm,6,cheering,7,talking,13,stand,8,get,9,peace,15,every,6,reference,34,,,manipul,4,regrettably,3,,,drug,4,gave,1,department,3,challenging,12,nose,4,humiliation,4,time,5,pawn,5,,,,,4,3
country,1221,woman,7,disintegration,7,reimagining,5,abalone,6,volodymyr,6,amp,13,country,8,ukrainian,9,country,15,brutal,5,minister,32,,,surrender,4,simplifies,3,,,human,4,100,1,exists,3,hope,12,taken,4,r,4,russia,5,still,5,,,,,celebration,3
live,1204,uk,6,plus,7,classic,5,public,6,leader,6,ridiculous,13,government,8,annoyed,8,ground,15,toll,5,competing,31,,,unilaterally,4,everything,3,,,trafficking,4,million,1,serve,3,sure,11,lysychansk,4,thehand,3,pm,5,ironically,5,,,,,independence,3
call,1169,point,6,roe,7,tale,5,gt,6,like,6,phone,12,time,7,beginning,8,reporter,15,across,4,stand,31,,,cut,4,sometimes,3,,,biological,4,airbusalbo,1,american,3,know,10,well,4,must,3,fool,4,day,5,,,,,putin,3
hire,1167,stalker,6,v,7,mephistopheles,5,time,5,chat,6,money,12,well,7,oust,8,currently,15,suffered,4,r,24,,,win,4,tr,3,,,chemical,4,clever,1,people,3,bit,10,c,4,admit,3,give,4,russia,4,,,,,upset,3
talk,1160,indeed,6,bad,7,runic,5,wonder,5,toby,6,hilarious,11,putin,7,demand,8,kill,15,terribly,4,see,22,,,nee,4,paying,3,,,violence,4,like,1,navalny,3,military,10,2022,4,ashamed,3,democrat,4,comfort,4,,,,,got,3
gun,1144,irritation,6,moment,7,symbol,5,first,5,newstead,6,laugh,11,lovegrove,7,investigation,8,criminal,15,month,4,victory,21,,,oh,4,high,3,,,fod,4,,,via,3,anything,10,mf,4,albo,3,stupidfied,4,woman,4,,,,,russia,3
letter,1140,noticed,6,go,7,fore,5,albanese,5,suze,6,u,11,gen,7,stop,8,nazi,15,week,4,day,21,,,video,4,price,3,,,super,4,,,arrival,3,eu,10,er,4,visiting,3,human,4,send,4,,,,,look,3
battlefield,1130,habermas,6,asking,7,sell,5,anthony,5,wilson,6,must,11,totally,6,goodall,8,massively,15,ben,4,u,20,,,praising,4,weapon,3,,,power,4,,,time,3,correct,9,shitload,4,using,2,bankrupt,4,meat,4,,,,,unimpressed,3
concert,1130,seems,6,mr,6,soul,5,billion,4,importance,6,comic,11,untuk,6,nonsense,8,need,14,stiller,4,soldier,20,,,stepan,4,man,3,,,theu,4,,,evening,3,nazi,9,getting,4,call,2,banker,4,grinder,4,,,,,albofromphotoops,3
million,1124,forget,6,flying,6,like,5,prime,4,character,6,giving,11,milineal,6,actual,8,wonder,14,richard,4,prime,20,,,bandera,4,war,3,,,mother,4,,,news,3,history,9,huge,4,cover,2,poorer,4,realises,4,,,,,cant,3
rose,1117,wonder,6,another,6,wow,5,minister,4,vir,6,kidding,11,way,6,ridiculous,8,money,14,branson,4,albanese,20,,,literal,4,fight,3,,,thans,4,,,hi,3,worth,9,hot,4,shamble,2,hour,4,unwinnable,4,,,,,isnt,3
satellite,1117,time,6,nato,6,usa,5,predictable,4,keep,5,129,11,would,6,gather,8,greatest,14,look,4,mr,19,,,zi,4,chap,3,,,overcome,4,,,bann,3,would,8,dog,4,inside,2,yearning,4,afghanistan,4,,,,,happy,3
amp,1108,know,5,dangerous,6,every,4,add,4,4th,5,strategy,11,war,6,team,8,appreciate,13,afu,4,country,19,,,people,4,end,3,,,russian,4,,,need,2,give,8,condiment,4,100,2,z,4,heed,4,,,,,watching,3
king,1089,political,5,horrible,6,excitement,4,ever,4,hi,5,weird,11,parody,5,goober,8,regime,13,expect,4,american,18,,,say,4,meeting,3,,,invader,4,,,300,2,tr,8,z,4,realize,2,enough,4,applied,4,,,,,government,3
copy,1071,happening,5,nuclear,5,everyone,4,going,4,hey,5,maybe,11,sick,5,listen,8,v,13,coup,4,independence,18,,,zelens,4,early,3,,,ruthlessly,4,,,billion,2,nato,8,sucking,4,boris,1,also,4,e,4,,,,,play,3
charles,1048,nearly,5,know,5,whole,4,list,4,helping,4,silly,11,blue,5,radio,8,caller,12,remove,4,say,17,,,change,4,volodymyr,3,,,attacked,4,,,money,2,line,8,dick,4,johnson,1,phone,4,applie,4,,,,,watch,3
xii,1046,400,5,far,5,summer,4,wheel,4,rt,4,joke,10,award,5,let,8,lie,12,soon,4,happy,16,,,subject,4,waiting,3,,,sovereign,4,,,anyone,2,yeah,8,reckon,4,wake,1,gun,4,tour,4,,,,,money,3
gifted,1037,people,5,monster,5,2019,4,extended,4,nbc6news,4,comedy,10,cute,4,shit,7,w,12,handy,4,soon,16,,,denying,4,speak,3,,,nation,4,,,think,2,ultimately,8,look,4,another,1,stupid,4,australia,4,,,,,dissapear,3
dated,1037,kharkiv,5,peace,5,waaaay,4,leave,4,wish,4,getting,10,must,4,stupid,7,excellent,12,ramp,4,get,16,,,blaming,4,april,3,,,f,4,,,milking,2,quite,8,dealing,4,secretary,1,highland,4,soon,4,,,,,corrupt,3
1711,1036,region,5,bunter,4,got,4,trip,4,release,4,wonder,9,selfie,4,word,7,get,12,sorry,4,new,16,,,shooting,4,7,3,,,reiterate,4,,,thing,2,milk,8,b,4,going,1,park,4,dough,4,,,,,meanwhile,3
year,1004,alone,5,monkey,4,may,4,shake,4,video,4,call,9,comedian,4,hot,7,play,12,run,4,doubt,16,,,may,4,2010,3,,,struggle,4,,,would,2,whatever,8,max,4,say,1,fourth,4,attack,4,,,,,useless,3
u,952,detained,5,side,4,august,4,photo,4,military,4,using,9,carl,4,us,7,russia,12,matter,4,final,16,,,fund,4,apologized,3,,,war,4,,,alternative,2,ally,8,sh1t,4,pincher,1,shooting,4,warns,4,,,,,pm,3
